nom,age,profession,revenu,genre,achat
Personne_71,59,Artiste,2846801.36,Homme,Non
Personne_72,29,Développeur,2872843.38,Autre,Non
Personne_73,19,Développeur,540840.96,Autre,Non
Personne_74,46,Avocat,2859515.68,Femme,Non
Personne_75,33,Enseignant,2124180.42,Autre,Oui
Personne_76,55,Artiste,1100662.92,Femme,Oui
Personne_77,42,Enseignant,571981.52,Homme,Oui
Personne_78,54,Avocat,1355356.06,Homme,Oui
Personne_79,46,Commerçant,1110023.41,Autre,Oui
Personne_80,47,Commerçant,2941540.59,Femme,Non
Personne_81,19,Avocat,977544.91,Autre,Non
Personne_82,41,Étudiant,1587845.25,Homme,Non
Personne_83,37,Développeur,2259782.88,Femme,Oui
Personne_84,30,Enseignant,2864086.61,Homme,Non
Personne_85,52,Avocat,831015.16,Autre,Non
Personne_86,21,Étudiant,920493.64,Autre,Non
Personne_87,62,Enseignant,2237951.33,Femme,Oui
Personne_88,39,Enseignant,597127.89,Autre,Non
Personne_89,46,Ingénieur,1034102.51,Autre,Oui
Personne_90,26,Ingénieur,2755705.21,Autre,Non
Personne_91,24,Avocat,2040704.78,Autre,Non
Personne_92,35,Ingénieur,2672186.39,Homme,Oui
Personne_93,63,Médecin,1714829.73,Autre,Non
Personne_94,58,Étudiant,449812.69,Femme,Non
Personne_95,40,Ingénieur,2621580.93,Femme,Oui
Personne_96,46,Ingénieur,500912.84,Femme,Non
Personne_97,64,Enseignant,2089886.55,Homme,Oui
Personne_98,20,Médecin,1376033.01,Autre,Non
Personne_99,62,Étudiant,2456217.13,Autre,Oui
Personne_100,63,Avocat,243957.95,Homme,Oui
Personne_101,29,Ingénieur,2246719.72,Autre,Oui
Personne_102,63,Artiste,2285698.77,Homme,Non
Personne_103,57,Ingénieur,644694.14,Homme,Oui
Personne_104,46,Étudiant,1760477.5,Femme,Oui
Personne_105,25,Ingénieur,2288781.55,Homme,Oui
Personne_106,21,Développeur,685476.53,Homme,Non
Personne_107,36,Enseignant,830698.52,Homme,Oui
Personne_108,58,Artiste,1653863.39,Autre,Oui
Personne_109,29,Étudiant,200595.93,Homme,Oui
Personne_110,45,Avocat,2645093.9,Femme,Non
Personne_111,64,Étudiant,2129207.14,Autre,Oui
Personne_112,52,Commerçant,1578557.0,Femme,Non
Personne_113,52,Artiste,615964.55,Homme,Non
Personne_114,36,Ingénieur,2472656.11,Homme,Non
Personne_115,35,Développeur,2976503.36,Femme,Oui
Personne_116,22,Enseignant,2880562.08,Homme,Oui
Personne_117,51,Développeur,2970990.66,Femme,Non
Personne_118,35,Développeur,2319957.35,Homme,Non
Personne_119,47,Enseignant,291236.59,Autre,Non
Personne_120,37,Enseignant,1664787.51,Femme,Non
Personne_121,31,Commerçant,1244908.76,Homme,Non
Personne_122,61,Artiste,1938142.81,Autre,Oui
Personne_123,55,Ingénieur,2364990.48,Autre,Oui
Personne_124,37,Étudiant,2760303.06,Autre,Non
Personne_125,57,Commerçant,1294476.08,Femme,Oui
Personne_126,54,Étudiant,802933.31,Homme,Oui
Personne_127,27,Commerçant,171813.04,Homme,Non
Personne_128,45,Ingénieur,2629573.93,Autre,Oui
Personne_129,18,Commerçant,1620459.09,Autre,Oui
Personne_130,53,Étudiant,673295.3,Femme,Non
Personne_131,30,Enseignant,576497.36,Homme,Non
Personne_132,42,Ingénieur,1706363.54,Femme,Non
Personne_133,33,Développeur,778919.22,Femme,Non
Personne_134,54,Médecin,141726.87,Femme,Non
Personne_135,21,Développeur,465616.29,Autre,Non
Personne_136,59,Commerçant,2853262.26,Homme,Non
Personne_137,25,Enseignant,1275731.48,Homme,Non
Personne_138,37,Développeur,2488511.58,Autre,Oui
Personne_139,63,Ingénieur,2032411.82,Homme,Non
Personne_140,52,Étudiant,2432168.92,Autre,Non
Personne_141,35,Avocat,1011283.49,Homme,Oui
Personne_142,59,Avocat,625383.22,Autre,Oui
Personne_143,53,Avocat,1258706.27,Femme,Oui
Personne_144,51,Artiste,594031.29,Homme,Oui
Personne_145,18,Développeur,2581013.35,Femme,Non
Personne_146,57,Commerçant,2861906.63,Homme,Oui
Personne_147,37,Étudiant,2302937.15,Homme,Oui
Personne_148,35,Artiste,1620067.42,Femme,Oui
Personne_149,32,Commerçant,1163458.01,Homme,Non
Personne_150,48,Avocat,2275521.99,Homme,Non
Personne_151,52,Développeur,1219223.7,Femme,Non
Personne_152,25,Enseignant,412274.92,Homme,Oui
Personne_153,19,Étudiant,475367.52,Femme,Non
Personne_154,63,Étudiant,1289346.61,Homme,Oui
Personne_155,58,Ingénieur,1272545.23,Autre,Non
Personne_156,55,Artiste,2159802.56,Femme,Non
Personne_157,33,Ingénieur,2400993.27,Femme,Oui
Personne_158,54,Avocat,1110026.66,Homme,Non
Personne_159,23,Étudiant,1340301.22,Homme,Oui
Personne_160,32,Avocat,2592515.49,Homme,Non
Personne_161,37,Étudiant,2437204.12,Femme,Non
Personne_162,54,Artiste,864642.1,Autre,Oui
Personne_163,64,Enseignant,2425775.14,Homme,Oui
Personne_164,38,Médecin,2127841.07,Femme,Oui
Personne_165,26,Développeur,234772.46,Autre,Oui
Personne_166,49,Développeur,1104397.1,Femme,Oui
Personne_167,58,Médecin,1352555.57,Autre,Non
Personne_168,20,Artiste,2470836.88,Homme,Oui
Personne_169,64,Développeur,302863.44,Homme,Oui
Personne_170,54,Développeur,2623210.95,Femme,Non
Personne_171,39,Développeur,2453127.67,Homme,Non
Personne_172,44,Médecin,870597.95,Homme,Non
Personne_173,59,Médecin,1873410.98,Autre,Oui
Personne_174,40,Médecin,1649193.81,Homme,Oui
Personne_175,26,Commerçant,1463038.01,Autre,Oui
Personne_176,41,Avocat,1799527.04,Autre,Oui
Personne_177,61,Artiste,1413393.22,Autre,Oui
Personne_178,59,Développeur,538423.1,Femme,Non
Personne_179,43,Commerçant,698764.43,Autre,Oui
Personne_180,64,Commerçant,1297801.16,Femme,Non
Personne_181,37,Artiste,1488559.22,Femme,Oui
Personne_182,57,Étudiant,831930.65,Autre,Non
Personne_183,41,Commerçant,157915.32,Homme,Non
Personne_184,54,Avocat,2371081.33,Femme,Non
Personne_185,52,Étudiant,1027237.55,Autre,Oui
Personne_186,57,Enseignant,2997921.86,Autre,Oui
Personne_187,29,Étudiant,463514.7,Homme,Non
Personne_188,61,Enseignant,1871631.79,Femme,Oui
Personne_189,54,Commerçant,1009569.57,Femme,Non
Personne_190,62,Avocat,2673361.96,Homme,Oui
Personne_191,60,Enseignant,1301980.0,Femme,Oui
Personne_192,58,Enseignant,1382488.26,Autre,Oui
Personne_193,46,Artiste,127160.52,Femme,Non
Personne_194,45,Médecin,1071805.35,Homme,Oui
Personne_195,59,Développeur,344872.99,Femme,Oui
Personne_196,44,Commerçant,1503121.75,Femme,Non
Personne_197,18,Artiste,588416.07,Autre,Oui
Personne_198,55,Développeur,149485.85,Autre,Non
Personne_199,38,Ingénieur,2962604.79,Autre,Non
Personne_200,20,Ingénieur,464953.0,Autre,Oui
