gender,age,height_cm,weight_kg,duration_min,calories_burned,satisfaction,membership_type
Female,33,186.7,63.1,62.6,390.0,5,Elite
Female,40,167.4,86.2,47.7,425.0,2,Basic
Female,43,,69.4,25.5,260.0,1,Elite
Female,22,167.5,67.4,51.0,526.0,3,Basic
Female,31,,83.3,35.2,280.0,3,Elite
Female,30,143.0,79.8,37.1,465.0,5,Elite
Female,28,169.5,46.4,53.8,445.0,2,Basic
Female,52,167.7,92.1,63.6,759.0,2,Elite
Female,39,177.0,90.7,45.3,492.0,5,Basic
Female,22,188.5,60.6,49.6,432.0,2,Elite
Male,44,181.3,75.9,70.5,955.0,4,Premium
Male,56,167.3,77.4,48.6,370.0,1,Elite
Female,45,158.9,73.9,84.0,994.0,3,Basic
Female,19,195.7,61.7,53.5,642.0,1,Elite
Female,30,170.6,59.9,18.6,161.0,3,Basic
Female,47,170.1,69.6,56.3,720.0,4,Basic
Female,27,169.8,87.6,50.7,482.0,2,Premium
Female,39,172.0,78.2,64.3,680.0,5,Premium
Female,42,168.6,64.4,55.1,580.0,4,Basic
Female,25,164.3,81.6,42.9,417.0,1,Elite
Male,34,164.5,27.3,26.6,309.0,5,Basic
Female,2,169.7,87.2,41.9,485.0,2,Basic
Male,24,164.6,43.9,32.2,209.0,4,Elite
Female,32,162.9,64.6,36.3,458.0,5,Elite
Female,22,171.1,53.2,53.8,359.0,4,Elite
Male,51,167.5,50.6,70.0,845.0,4,Elite
Female,20,185.0,87.4,,624.0,2,Basic
Male,30,143.5,63.0,27.1,212.0,3,Basic
Female,36,180.9,,51.7,475.0,5,Premium
Female,49,182.5,69.3,62.9,490.0,2,Basic
Male,20,149.3,77.2,35.9,344.0,4,Elite
Female,46,166.6,71.2,43.0,404.0,2,Premium
Male,35,166.3,50.8,45.2,522.0,3,Elite
Female,25,155.9,84.9,33.2,419.0,5,Basic
Male,39,162.2,62.6,54.7,700.0,3,Premium
Male,36,158.9,46.7,43.2,383.0,1,Elite
Female,28,187.5,63.6,,492.0,5,Premium
Female,35,179.4,92.5,31.7,210.0,3,Premium
Male,31,182.7,82.8,38.4,322.0,4,Basic
Female,36,177.2,64.8,55.8,666.0,5,Elite
Female,41,158.7,64.8,39.4,521.0,5,Premium
Female,50,164.8,65.2,70.9,534.0,2,Premium
Male,22,174.9,101.2,39.0,344.0,4,Elite
Male,56,157.8,75.7,48.4,481.0,1,Premium
Male,15,177.1,,59.0,623.0,3,Premium
Male,33,167.6,85.5,23.7,199.0,2,Premium
Male,40,166.3,73.6,18.6,202.0,3,Elite
Male,37,177.1,66.1,,200.0,1,Elite
Male,28,174.4,67.1,63.9,637.0,1,Elite
Male,32,,68.9,36.7,407.0,5,Elite
Male,30,181.6,69.4,83.4,835.0,1,Basic
Female,29,159.2,80.9,36.5,333.0,3,Premium
Male,43,176.2,70.8,47.8,468.0,4,Elite
Female,38,175.9,81.0,68.1,669.0,4,Premium
Female,28,166.9,68.8,75.1,695.0,5,Premium
Female,43,173.3,71.2,75.9,720.0,3,Basic
Male,38,157.5,40.0,63.1,833.0,3,Elite
Male,43,179.2,83.7,60.4,672.0,1,Elite
Male,41,168.2,75.2,53.9,507.0,3,Premium
Male,26,164.8,85.0,56.7,646.0,2,Elite
Female,29,180.5,26.6,36.7,342.0,1,Premium
Male,42,163.0,101.3,32.7,404.0,2,Premium
Male,41,155.9,67.9,44.9,482.0,5,Basic
Male,34,154.4,86.6,42.4,415.0,4,Basic
Male,36,176.1,54.4,38.2,416.0,5,Basic
Male,47,157.2,79.2,55.4,380.0,4,Premium
Female,29,187.5,54.2,59.3,459.0,5,Elite
Male,40,149.2,60.6,46.3,352.0,3,Basic
Female,32,187.0,98.7,67.2,691.0,2,Elite
Male,32,172.1,67.1,27.9,376.0,4,Basic
Female,45,169.0,73.3,42.1,609.0,1,Basic
Male,43,164.6,83.1,34.2,386.0,2,Premium
Male,43,174.0,77.4,17.0,187.0,1,Basic
Female,48,169.6,72.3,,280.0,2,Basic
Female,35,181.0,75.5,43.2,385.0,2,Premium
Female,41,171.1,106.1,67.7,570.0,5,Elite
Male,31,171.5,,54.5,477.0,4,Basic
Female,38,166.4,73.0,29.6,286.0,4,Premium
Male,33,169.4,85.8,72.8,659.0,2,Basic
Male,35,173.1,86.6,63.3,382.0,3,Premium
Female,40,152.9,87.8,53.7,617.0,3,Elite
Female,26,156.5,79.6,41.6,327.0,1,Elite
Male,55,177.4,52.9,30.6,321.0,1,Premium
Male,24,171.7,94.5,39.4,557.0,5,Premium
Female,22,168.2,52.8,61.3,500.0,2,Premium
Female,46,170.2,74.5,73.3,362.0,1,Elite
Female,42,173.5,58.7,68.1,642.0,1,Basic
Male,41,164.6,69.0,37.7,460.0,2,Elite
Male,41,,74.9,28.2,392.0,5,Premium
Male,34,172.0,74.8,47.1,355.0,1,Premium
Male,26,160.2,76.3,,203.0,5,Elite
Male,35,174.1,94.2,49.8,452.0,4,Premium
Male,28,153.0,,42.8,419.0,5,Elite
Female,44,180.3,66.3,38.0,581.0,3,Premium
Male,33,174.7,84.5,21.1,148.0,3,Basic
Male,26,172.6,87.8,52.7,554.0,5,Basic
Male,31,179.8,51.6,37.0,405.0,3,Premium
Female,39,,79.0,,335.0,4,Elite
Male,29,180.1,80.5,1.9,19.0,2,Basic
Male,26,151.6,65.5,,473.0,3,Elite
Female,37,157.2,90.6,71.6,660.0,3,Premium
Male,37,163.8,67.7,69.9,737.0,5,Elite
Male,29,170.3,71.9,38.1,355.0,4,Basic
Male,30,175.2,67.4,36.0,405.0,2,Elite
Male,37,162.7,70.2,52.0,482.0,5,Elite
Male,20,171.9,53.6,30.0,323.0,5,Premium
Female,20,162.4,48.4,49.5,492.0,4,Premium
Female,27,163.9,93.9,56.5,692.0,2,Premium
Female,32,155.9,57.3,63.4,627.0,4,Basic
Male,38,160.8,55.1,43.5,281.0,2,Basic
Male,49,156.5,37.7,41.9,525.0,4,Premium
Male,43,160.2,60.4,31.8,260.0,5,Premium
Female,33,180.5,50.2,32.6,283.0,5,Basic
Male,34,160.5,,41.6,366.0,1,Basic
Male,24,196.3,85.1,50.5,644.0,3,Basic
Female,34,174.9,59.7,58.7,336.0,4,Basic
Male,32,171.8,103.8,33.0,537.0,1,Premium
Female,38,161.4,84.7,,816.0,3,Basic
Female,26,177.0,65.1,40.9,427.0,4,Premium
Female,40,164.2,32.5,44.7,442.0,2,Elite
Male,50,171.2,104.4,33.8,357.0,3,Elite
Male,33,195.6,49.2,8.6,95.0,5,Basic
Male,39,169.0,145.3,58.3,658.0,1,Elite
Male,41,181.5,85.3,56.1,623.0,3,Elite
Male,30,163.0,106.6,40.8,415.0,3,Elite
Male,37,169.7,90.8,46.0,442.0,5,Basic
Male,35,187.7,78.5,52.7,511.0,4,Basic
Female,35,163.7,78.9,21.6,208.0,2,Elite
Male,27,188.1,82.8,37.1,455.0,5,Premium
Female,35,,81.4,56.9,3185.0,2,Elite
Male,39,164.4,74.2,26.2,108.0,4,Basic
Male,49,176.3,71.6,49.4,559.0,3,Basic
Male,44,179.7,69.1,24.7,257.0,2,Basic
Female,56,176.2,58.7,52.0,518.0,1,Elite
Female,27,154.3,65.8,44.5,410.0,1,Premium
Female,43,162.7,44.6,20.8,255.0,5,Basic
Female,36,167.5,68.5,62.5,743.0,4,Basic
Male,56,169.3,55.2,34.0,287.0,5,Elite
Female,26,176.2,53.4,32.8,355.0,5,Premium
Male,26,171.8,72.7,48.0,387.0,5,Elite
Male,29,156.6,90.9,62.2,450.0,1,Basic
Female,13,173.8,83.8,29.8,261.0,1,Premium
Female,29,176.1,46.4,45.9,538.0,5,Premium
Female,27,175.6,,51.4,612.0,1,Basic
Female,36,180.8,84.1,55.4,611.0,4,Premium
Female,38,178.3,55.3,47.6,545.0,5,Premium
Female,53,174.6,66.6,39.5,436.0,1,Elite
Female,44,169.3,78.3,32.6,284.0,2,Basic
Female,29,153.4,,46.3,503.0,5,Basic
Male,26,174.3,71.6,28.9,335.0,5,Basic
Female,39,172.1,50.0,1.2,14.0,4,Basic
Female,21,172.7,61.0,51.5,637.0,3,Basic
Male,53,157.2,74.8,58.6,669.0,3,Premium
Female,46,159.2,,9.6,103.0,4,Elite
Male,30,180.5,76.6,29.9,1815.0,4,Basic
Male,17,169.6,69.7,54.3,540.0,4,Elite
Female,48,176.8,78.3,75.9,625.0,3,Elite
Male,33,170.3,73.4,45.3,438.0,4,Premium
Male,47,170.3,90.5,34.1,290.0,1,Basic
Male,19,179.4,71.9,42.3,366.0,5,Premium
Male,29,164.8,63.6,65.6,637.0,5,Basic
Female,35,171.0,71.8,35.3,297.0,2,Premium
Male,35,165.4,78.1,33.0,310.0,2,Elite
Female,30,,70.7,37.8,235.0,5,Basic
Male,41,166.9,70.6,30.7,320.0,1,Elite
Male,24,,59.5,46.8,468.0,3,Elite
Male,33,165.2,60.1,69.4,581.0,3,Premium
Male,36,182.6,49.0,49.8,564.0,1,Basic
Female,40,161.1,96.2,41.2,489.0,3,Elite
Female,42,168.1,51.3,40.6,1375.0,4,Premium
Male,23,165.6,59.6,21.6,183.0,5,Basic
Male,19,184.5,59.2,58.2,492.0,5,Basic
Female,47,172.0,83.4,43.8,356.0,1,Elite
Male,38,,65.6,42.3,493.0,3,Basic
Male,27,155.1,88.7,92.9,893.0,2,Elite
Male,50,172.7,59.9,49.5,469.0,2,Basic
Female,36,178.9,74.2,33.7,202.0,3,Premium
Female,46,170.8,57.5,38.6,435.0,2,Elite
Female,35,180.7,102.2,62.2,468.0,1,Elite
Male,55,164.8,52.2,46.7,473.0,1,Basic
Male,52,184.1,74.6,23.4,247.0,3,Basic
Female,32,193.0,79.5,58.8,748.0,2,Elite
Female,44,166.4,76.2,35.0,258.0,1,Basic
Female,41,165.5,67.2,73.1,290.0,1,Premium
Female,48,184.5,68.1,61.2,635.0,4,Basic
Male,25,185.8,70.7,38.3,521.0,4,Premium
Female,41,164.8,67.8,64.2,801.0,1,Premium
Male,45,165.8,,46.0,479.0,3,Premium
Female,17,167.2,103.2,57.8,521.0,5,Premium
Male,23,156.6,61.6,52.3,607.0,5,Premium
Female,14,160.8,49.5,32.3,260.0,1,Basic
Female,32,160.0,68.7,35.3,387.0,1,Premium
Female,42,162.3,108.7,60.4,665.0,1,Basic
Female,50,169.7,57.9,40.0,485.0,3,Premium
Male,35,172.3,94.6,38.9,604.0,4,Elite
Female,51,185.5,95.2,30.7,331.0,1,Premium
Male,21,160.0,61.7,51.4,462.0,1,Elite
Male,17,179.8,78.5,75.9,755.0,2,Premium
Male,34,167.9,,29.0,187.0,3,Premium
Male,38,169.5,64.3,45.4,391.0,1,Premium
Female,34,176.7,66.9,66.2,608.0,2,Elite
Male,14,158.8,61.3,43.8,392.0,5,Elite
Male,34,173.8,54.8,51.8,534.0,1,Premium
Male,21,171.7,60.3,29.1,243.0,1,Basic
Female,41,174.9,51.6,51.4,629.0,2,Premium
Female,38,172.9,70.5,,422.0,3,Elite
Female,25,194.6,58.5,59.8,597.0,1,Premium
Female,29,163.6,73.5,62.8,587.0,5,Elite
Male,24,164.7,46.7,83.8,4320.0,1,Elite
Male,34,163.8,75.0,53.7,626.0,5,Elite
Female,44,164.4,82.5,49.9,412.0,4,Premium
Male,25,163.6,40.1,47.9,416.0,4,Elite
Male,40,181.9,75.6,39.7,373.0,5,Elite
Male,29,184.2,88.4,50.1,366.0,3,Premium
Female,27,164.3,,40.6,339.0,1,Elite
Female,33,161.7,95.1,47.5,430.0,1,Premium
Male,24,174.7,76.3,64.8,761.0,4,Elite
Female,29,164.5,59.4,29.9,315.0,5,Basic
Female,23,176.3,69.2,62.1,645.0,1,Basic
Female,54,,78.4,64.8,758.0,1,Elite
Female,35,154.8,71.1,43.2,420.0,3,Basic
Female,28,185.5,78.1,13.2,142.0,2,Premium
Male,37,188.0,56.2,35.9,352.0,4,Basic
Female,33,163.9,72.5,64.5,679.0,4,Elite
Male,32,166.1,48.8,44.7,395.0,2,Elite
Male,41,172.9,,,154.0,1,Premium
Female,42,173.3,56.4,37.4,364.0,3,Elite
Male,29,176.6,59.0,57.6,740.0,3,Premium
Male,29,190.1,88.5,53.2,631.0,4,Basic
Male,32,168.2,86.4,41.4,494.0,3,Basic
Female,11,162.0,79.1,39.5,493.0,2,Premium
Female,19,156.2,53.6,39.1,398.0,1,Premium
Male,48,162.7,,31.2,324.0,2,Elite
Female,51,169.7,88.2,69.2,607.0,5,Basic
Female,32,187.9,72.1,40.2,377.0,4,Premium
Female,40,164.8,104.8,63.3,711.0,3,Basic
Female,38,172.2,75.9,67.8,841.0,5,Premium
Male,65,169.8,72.9,60.0,583.0,3,Basic
Male,46,181.9,65.4,38.5,350.0,1,Elite
Female,33,,72.0,,511.0,1,Basic
Female,25,,67.7,44.6,500.0,1,Basic
Male,18,165.1,80.6,31.4,223.0,3,Basic
Male,37,180.4,84.4,49.9,270.0,5,Basic
Female,27,176.8,58.2,27.3,243.0,1,Basic
Male,20,188.5,50.0,62.8,475.0,5,Elite
Female,28,175.8,42.5,38.0,341.0,3,Premium
Female,24,166.4,77.6,48.0,466.0,5,Basic
Male,51,175.9,53.4,49.2,447.0,3,Elite
Male,43,181.1,37.7,41.1,530.0,3,Basic
Female,34,178.2,75.8,53.8,573.0,4,Basic
Female,49,175.1,107.4,37.9,402.0,3,Premium
Male,35,180.7,69.9,58.1,653.0,3,Basic
Female,26,181.7,82.6,24.8,192.0,2,Elite
Male,50,183.8,71.2,46.9,566.0,1,Elite
Female,40,176.5,68.5,74.1,730.0,4,Premium
Male,24,168.3,83.8,30.0,340.0,4,Basic
Male,33,171.5,65.6,34.8,273.0,4,Elite
Male,26,182.1,74.0,52.7,363.0,2,Basic
Female,21,161.8,74.8,47.7,555.0,3,Basic
Female,44,173.7,,50.3,541.0,1,Basic
Male,54,166.1,84.9,52.3,429.0,5,Premium
Female,21,170.3,67.4,54.5,450.0,3,Basic
Male,40,182.8,58.7,61.6,755.0,2,Elite
Male,28,,78.0,51.1,389.0,3,Basic
Female,30,,,41.4,550.0,3,Elite
Female,29,156.4,70.4,55.1,452.0,2,Basic
Male,26,177.5,69.9,73.5,829.0,4,Elite
Female,35,176.5,86.3,43.0,402.0,4,Elite
Female,26,191.6,77.1,,341.0,1,Basic
Male,37,166.9,69.6,61.6,549.0,1,Basic
Male,34,172.2,82.3,,418.0,4,Elite
Female,32,172.5,90.9,12.4,125.0,5,Premium
Male,25,185.8,78.4,57.7,461.0,3,Basic
Male,29,169.0,70.2,37.0,425.0,5,Premium
Female,42,172.8,50.3,43.6,391.0,3,Basic
Male,40,176.1,54.0,50.0,477.0,4,Basic
Male,25,171.9,65.4,47.9,384.0,1,Basic
Female,35,165.5,60.9,,271.0,1,Basic
Female,42,171.9,67.2,38.5,370.0,5,Premium
Male,18,180.7,70.8,52.7,781.0,1,Basic
Male,40,159.7,77.9,41.1,475.0,4,Elite
Female,28,171.3,68.9,56.1,559.0,5,Elite
Female,40,163.0,77.3,54.2,514.0,3,Premium
Female,27,182.0,71.0,31.0,311.0,1,Basic
Female,16,154.8,40.4,61.3,680.0,2,Elite
Male,18,164.4,55.9,37.0,283.0,1,Premium
Female,35,173.8,67.8,57.1,698.0,3,Basic
Female,37,185.7,51.9,50.5,577.0,5,Elite
Male,25,169.3,79.0,72.6,830.0,3,Elite
Female,41,164.4,93.0,41.6,452.0,2,Premium
Male,18,188.8,88.3,39.8,400.0,4,Basic
Female,34,155.5,66.8,44.7,507.0,1,Basic
Female,22,148.0,92.4,40.5,453.0,5,Elite
Female,28,174.4,72.2,57.0,530.0,4,Elite
Male,35,165.0,64.9,20.8,184.0,3,Elite
Male,26,159.8,60.8,29.2,298.0,5,Basic
Female,31,177.1,65.5,29.0,380.0,4,Premium
Male,45,172.4,64.2,59.3,446.0,5,Premium
Male,29,164.4,72.6,70.7,499.0,2,Basic
Male,43,157.2,72.4,43.4,448.0,2,Premium
Male,23,178.7,70.0,42.5,429.0,1,Elite
Male,40,176.5,76.6,46.1,477.0,1,Premium
Male,49,169.0,87.9,62.4,654.0,2,Premium
Female,10,188.5,84.2,31.1,297.0,5,Premium
Female,27,159.3,47.7,48.6,631.0,2,Elite
Male,40,154.7,31.7,59.6,405.0,1,Basic
Female,32,163.1,84.0,52.5,438.0,2,Elite
Female,38,169.5,49.5,47.8,468.0,2,Basic
Female,28,172.4,66.6,60.0,403.0,5,Basic
Female,35,167.6,52.4,4.5,43.0,4,Basic
Male,33,173.5,43.0,55.2,735.0,1,Premium
